case;event;time
0;Assign seriousness;09.10.2012-14:50:17
0;Take in charge ticket;09.10.2012-14:51:01
0;Take in charge ticket;12.10.2012-15:02:56
0;Resolve ticket;25.10.2012-11:54:26
0;Closed;09.11.2012-12:54:39
1;Assign seriousness;03.04.2012-08:55:38
1;Take in charge ticket;03.04.2012-08:55:53
1;Resolve ticket;05.04.2012-09:15:52
1;Closed;19.05.2012-09:00:28
2;Assign seriousness;29.10.2010-10:14:06
2;Take in charge ticket;03.11.2010-16:16:11
2;Resolve ticket;03.11.2010-16:21:17
2;Closed;30.11.2010-11:20:18
3;Assign seriousness;15.12.2010-14:31:53
3;Take in charge ticket;16.12.2010-08:01:07
3;Resolve ticket;16.12.2010-08:08:19
3;Closed;12.02.2011-14:40:42
4;Assign seriousness;03.04.2012-13:08:32
4;Take in charge ticket;03.04.2012-13:45:33
4;Resolve ticket;03.04.2012-13:47:22
4;Take in charge ticket;03.04.2012-14:15:02
4;Resolve ticket;03.04.2012-16:07:28
4;Closed;25.05.2012-13:10:28
5;Assign seriousness;25.10.2011-15:13:58
5;Take in charge ticket;25.10.2011-15:58:55
5;Resolve ticket;26.10.2011-09:54:46
5;Closed;10.12.2011-16:20:56
6;Assign seriousness;06.11.2013-10:47:35
6;Assign seriousness;06.11.2013-10:48:53
6;Assign seriousness;22.11.2013-08:00:08
6;Take in charge ticket;25.11.2013-08:18:07
6;Resolve ticket;25.11.2013-08:57:19
6;Closed;10.12.2013-08:57:37
7;Assign seriousness;05.07.2012-08:30:32
7;Take in charge ticket;05.07.2012-09:25:45
7;Resolve ticket;05.07.2012-09:44:46
7;Closed;02.09.2012-08:40:27
8;Insert ticket;07.05.2010-13:02:21
8;Assign seriousness;07.05.2010-13:02:34
8;Take in charge ticket;24.05.2010-10:26:28
8;Resolve ticket;25.05.2010-15:35:44
8;Closed;09.06.2010-15:35:56
9;Assign seriousness;10.02.2010-08:50:20
9;Take in charge ticket;19.03.2010-08:47:06
9;Resolve ticket;19.03.2010-08:47:13
9;Closed;03.04.2010-07:47:38
10;Assign seriousness;21.12.2011-15:24:41
10;Take in charge ticket;21.12.2011-15:25:34
10;Resolve ticket;22.12.2011-09:55:43
10;Closed;21.01.2012-15:30:31
11;Assign seriousness;18.03.2013-10:47:34
11;Take in charge ticket;18.03.2013-15:03:49
11;Resolve ticket;03.04.2013-07:13:38
11;Closed;18.04.2013-07:13:53
12;Assign seriousness;17.12.2012-09:47:49
12;Take in charge ticket;02.01.2013-09:22:43
12;Resolve ticket;04.01.2013-10:29:36
12;Closed;19.01.2013-10:29:51
13;Assign seriousness;05.07.2011-13:47:08
13;Take in charge ticket;05.07.2011-13:47:22
13;Resolve ticket;05.07.2011-13:52:37
13;Closed;05.08.2011-13:50:21
14;Assign seriousness;20.02.2013-09:58:27
14;Assign seriousness;08.03.2013-08:25:42
14;Take in charge ticket;08.03.2013-08:30:43
14;Resolve ticket;08.03.2013-08:34:08
14;Closed;23.03.2013-08:34:25
15;Assign seriousness;22.02.2012-14:16:52
15;Take in charge ticket;22.02.2012-16:14:07
15;Take in charge ticket;22.02.2012-16:23:57
15;Resolve ticket;23.02.2012-09:47:38
15;Closed;24.03.2012-14:20:19
16;Assign seriousness;14.10.2011-07:10:47
16;Take in charge ticket;02.11.2011-16:17:52
16;Resolve ticket;09.11.2011-13:31:37
16;Closed;24.11.2011-15:57:55
17;Assign seriousness;01.03.2013-16:06:11
17;Take in charge ticket;18.03.2013-14:04:03
17;Resolve ticket;19.03.2013-10:22:40
17;Resolve ticket;19.03.2013-10:22:40
17;Closed;03.04.2013-09:23:01
18;Assign seriousness;07.07.2010-07:54:04
18;Take in charge ticket;09.07.2010-10:10:52
18;Resolve ticket;09.07.2010-10:11:18
18;Closed;07.08.2010-08:00:22
19;Assign seriousness;09.05.2013-07:10:37
19;Take in charge ticket;04.06.2013-13:33:01
19;Wait;10.06.2013-09:06:43
19;Resolve ticket;19.06.2013-09:12:02
19;Closed;04.07.2013-09:12:15
20;Assign seriousness;14.01.2011-15:15:21
20;Take in charge ticket;27.01.2011-08:06:37
20;Resolve ticket;27.01.2011-10:19:15
20;Closed;26.02.2011-10:19:37
21;Assign seriousness;23.07.2012-07:49:04
21;Take in charge ticket;23.07.2012-07:49:14
21;Wait;23.07.2012-08:51:59
21;Resolve ticket;27.08.2012-10:05:23
21;Closed;11.09.2012-10:05:33
22;Assign seriousness;19.12.2012-16:33:23
22;Take in charge ticket;03.01.2013-08:26:14
22;Resolve ticket;22.01.2013-15:50:53
22;Closed;06.02.2013-15:51:06
23;Assign seriousness;27.04.2010-09:49:56
23;Take in charge ticket;08.06.2010-11:06:56
23;Resolve ticket;08.06.2010-14:46:16
23;Closed;23.06.2010-14:46:28
24;Assign seriousness;30.12.2010-09:27:17
24;Take in charge ticket;30.12.2010-13:14:04
24;Resolve ticket;30.12.2010-15:16:35
24;Closed;16.02.2011-09:30:28
25;Assign seriousness;31.03.2011-07:28:47
25;Take in charge ticket;31.03.2011-07:31:59
25;Wait;31.03.2011-08:39:41
25;Take in charge ticket;31.03.2011-11:00:28
25;Resolve ticket;31.03.2011-11:00:41
25;Closed;05.05.2011-09:50:46
26;Assign seriousness;24.11.2011-14:02:16
26;Take in charge ticket;24.11.2011-14:02:35
26;Resolve ticket;12.12.2011-09:04:47
26;Closed;27.12.2011-09:05:04
27;Assign seriousness;25.10.2013-15:53:59
27;Take in charge ticket;25.10.2013-15:54:05
27;Create SW anomaly;25.10.2013-15:54:12
27;Require upgrade;25.10.2013-15:54:23
27;Require upgrade;14.11.2013-15:55:48
27;Resolve ticket;23.12.2013-08:08:05
28;Assign seriousness;30.07.2012-10:07:32
28;Take in charge ticket;30.07.2012-10:07:40
28;Resolve ticket;30.07.2012-12:29:40
28;Closed;14.09.2012-10:10:38
29;Assign seriousness;21.01.2011-09:47:20
29;Take in charge ticket;07.02.2011-09:19:45
29;Resolve ticket;10.02.2011-09:01:20
29;Closed;25.02.2011-09:01:35
30;Assign seriousness;15.04.2013-12:41:20
30;Take in charge ticket;18.04.2013-07:06:11
30;Create SW anomaly;18.04.2013-07:18:02
30;Require upgrade;18.04.2013-07:18:23
30;Resolve ticket;15.05.2013-13:30:39
30;Closed;30.05.2013-13:31:00
31;Assign seriousness;27.04.2011-07:38:44
31;Take in charge ticket;27.04.2011-12:46:13
31;Resolve ticket;28.04.2011-08:18:08
31;Closed;04.06.2011-07:40:30
32;Assign seriousness;29.04.2013-13:22:48
32;Take in charge ticket;14.05.2013-14:53:46
32;Resolve ticket;15.05.2013-10:19:05
32;Closed;30.05.2013-10:19:20
33;Assign seriousness;11.06.2013-13:56:40
33;Take in charge ticket;25.06.2013-10:42:45
33;Wait;25.06.2013-10:43:50
33;Wait;26.06.2013-13:27:04
33;Resolve ticket;05.07.2013-10:18:32
33;Closed;20.07.2013-10:18:42
34;Assign seriousness;18.01.2012-08:15:30
34;Resolve ticket;18.01.2012-09:46:37
34;Closed;10.03.2012-08:20:43
35;Assign seriousness;29.06.2011-10:06:48
35;Take in charge ticket;30.06.2011-12:58:23
35;Resolve ticket;05.07.2011-07:32:43
35;Closed;30.07.2011-10:10:20
36;Assign seriousness;10.02.2011-11:13:07
36;Take in charge ticket;10.02.2011-11:13:33
36;Resolve ticket;10.02.2011-15:20:02
36;Resolve ticket;02.03.2011-13:23:58
36;Take in charge ticket;02.03.2011-13:24:07
36;Wait;02.03.2011-15:27:52
36;Take in charge ticket;04.03.2011-09:37:50
36;Resolve ticket;04.03.2011-09:37:55
36;Closed;03.04.2011-08:38:21
37;Assign seriousness;20.03.2012-07:57:45
37;Take in charge ticket;20.03.2012-07:58:15
37;Resolve ticket;20.03.2012-08:18:56
37;Closed;21.04.2012-16:00:36
38;Assign seriousness;29.08.2013-11:05:59
38;Take in charge ticket;11.09.2013-12:57:48
38;Wait;12.09.2013-09:46:36
38;Resolve ticket;27.09.2013-09:50:58
38;Closed;12.10.2013-09:51:11
39;Assign seriousness;09.08.2012-12:13:03
39;Take in charge ticket;09.08.2012-12:13:29
39;Resolve ticket;09.08.2012-12:46:00
39;Closed;12.09.2012-12:20:25
40;Assign seriousness;14.12.2010-10:44:26
40;Take in charge ticket;14.12.2010-10:44:57
40;Resolve ticket;14.12.2010-10:45:12
40;Closed;27.01.2011-10:50:31
41;Assign seriousness;16.06.2011-12:23:39
41;Take in charge ticket;16.06.2011-12:51:05
41;Resolve ticket;16.06.2011-13:39:51
41;Closed;30.07.2011-12:30:33
42;Assign seriousness;10.04.2012-08:56:32
42;Take in charge ticket;10.04.2012-09:27:27
42;Resolve ticket;10.04.2012-10:53:28
42;Closed;26.05.2012-09:00:20
43;Assign seriousness;29.11.2010-16:09:19
43;Take in charge ticket;29.11.2010-16:19:59
43;Resolve ticket;29.11.2010-16:20:51
43;Closed;31.12.2010-16:10:28
44;Assign seriousness;20.01.2012-14:08:14
44;Take in charge ticket;25.01.2012-11:46:19
44;Resolve ticket;02.03.2012-10:40:59
44;Closed;17.03.2012-10:41:18
45;Assign seriousness;14.11.2012-14:33:17
45;Take in charge ticket;15.11.2012-13:33:28
45;Take in charge ticket;15.11.2012-13:33:59
45;Wait;16.11.2012-11:37:21
45;Resolve ticket;14.12.2012-14:20:49
45;Closed;29.12.2012-14:21:03
46;Assign seriousness;25.05.2011-09:48:18
46;Take in charge ticket;25.05.2011-09:48:43
46;Resolve ticket;30.05.2011-15:04:34
46;Closed;01.07.2011-09:50:37
47;Insert ticket;01.12.2010-13:42:59
47;Assign seriousness;02.12.2010-14:07:33
47;Take in charge ticket;02.12.2010-14:07:41
47;Resolve ticket;02.12.2010-14:08:33
47;Closed;01.01.2011-14:08:51
48;Assign seriousness;25.11.2011-14:33:54
48;Take in charge ticket;25.11.2011-14:47:48
48;Wait;29.11.2011-14:47:35
48;Resolve ticket;02.12.2011-16:25:57
48;Closed;07.01.2012-16:20:26
49;Assign seriousness;16.01.2012-10:53:01
49;Take in charge ticket;16.01.2012-10:59:51
49;Resolve ticket;16.01.2012-16:37:54
49;Resolve ticket;16.01.2012-16:37:55
49;Closed;16.02.2012-11:00:57
50;Assign seriousness;13.06.2012-13:55:36
50;Take in charge ticket;14.06.2012-07:07:06
50;Wait;15.06.2012-07:16:27
50;Resolve ticket;02.07.2012-09:41:04
50;Closed;18.07.2012-07:30:21
51;Assign seriousness;26.07.2012-15:18:26
51;Take in charge ticket;26.07.2012-15:18:35
51;Resolve ticket;27.07.2012-10:46:28
51;Closed;12.09.2012-15:20:55
52;Assign seriousness;14.10.2010-13:53:13
52;Take in charge ticket;15.10.2010-13:02:36
52;Wait;28.10.2010-15:12:55
52;Wait;28.10.2010-15:12:55
52;Take in charge ticket;29.10.2010-13:42:01
52;Resolve ticket;04.11.2010-08:48:12
52;Closed;04.12.2010-08:48:57
53;Assign seriousness;07.11.2013-08:20:59
53;Take in charge ticket;29.11.2013-09:10:50
53;Resolve ticket;02.12.2013-16:14:22
53;Closed;17.12.2013-16:14:40
54;Assign seriousness;26.10.2011-15:51:42
54;Take in charge ticket;31.10.2011-15:19:03
54;Wait;07.11.2011-08:44:52
54;Resolve ticket;21.11.2011-08:21:23
54;Closed;06.12.2011-08:21:36
55;Assign seriousness;30.01.2012-11:32:58
55;Resolve ticket;30.01.2012-11:33:23
55;Closed;14.03.2012-11:40:25
56;Assign seriousness;29.10.2010-09:39:23
56;Take in charge ticket;02.11.2010-14:56:13
56;Resolve ticket;02.11.2010-15:39:05
56;Closed;30.11.2010-10:40:55
57;Assign seriousness;16.11.2012-15:49:30
57;Create SW anomaly;16.11.2012-15:49:51
57;Require upgrade;28.11.2012-13:50:07
57;Resolve ticket;17.12.2012-09:55:05
57;Closed;01.01.2013-09:55:26
58;Assign seriousness;28.03.2012-12:28:37
58;Take in charge ticket;28.03.2012-12:28:47
58;Resolve ticket;28.03.2012-15:32:57
58;Resolve ticket;28.03.2012-15:32:57
58;Closed;28.04.2012-12:30:17
59;Assign seriousness;06.04.2011-15:35:49
59;Take in charge ticket;06.04.2011-15:36:04
59;Wait;07.04.2011-15:41:23
59;Take in charge ticket;13.04.2011-08:49:14
59;Resolve ticket;13.04.2011-08:49:22
59;Closed;28.05.2011-08:50:26
60;Assign seriousness;16.09.2011-07:04:39
60;Take in charge ticket;16.09.2011-07:18:12
60;Resolve ticket;16.09.2011-15:04:46
60;Closed;10.11.2011-08:10:45
61;Assign seriousness;28.05.2012-15:16:47
61;Resolve ticket;28.05.2012-15:18:27
61;Closed;26.07.2012-15:20:39
62;Assign seriousness;06.03.2013-15:05:09
62;Take in charge ticket;22.03.2013-08:58:01
62;Resolve ticket;22.03.2013-09:34:16
62;Closed;06.04.2013-08:34:35
63;Assign seriousness;14.04.2011-15:54:28
63;Assign seriousness;14.04.2011-15:54:46
63;Wait;15.04.2011-10:41:19
63;Take in charge ticket;27.04.2011-10:30:04
63;Wait;27.04.2011-10:30:13
63;Take in charge ticket;06.05.2011-09:42:13
63;Resolve ticket;06.05.2011-09:42:28
63;Closed;21.05.2011-09:42:52
64;Assign seriousness;13.02.2013-13:41:45
64;Take in charge ticket;01.03.2013-09:23:38
64;Wait;01.03.2013-10:14:20
64;Resolve ticket;01.03.2013-16:01:20
64;Closed;16.03.2013-16:01:36
65;Assign seriousness;26.06.2012-08:46:53
65;Take in charge ticket;26.06.2012-08:47:39
65;Resolve ticket;26.06.2012-13:05:58
65;Closed;24.08.2012-15:42:30
66;Assign seriousness;30.12.2010-15:03:15
66;Take in charge ticket;11.01.2011-08:40:08
66;Resolve ticket;13.01.2011-11:45:18
66;Closed;12.02.2011-15:10:46
67;Assign seriousness;11.04.2012-14:09:22
67;Take in charge ticket;11.04.2012-14:09:45
67;Resolve ticket;12.04.2012-10:31:37
67;Closed;12.05.2012-14:10:23
68;Assign seriousness;05.04.2013-08:30:22
68;Take in charge ticket;30.04.2013-13:27:21
68;Resolve ticket;30.04.2013-13:32:43
68;Closed;15.05.2013-13:32:57
69;Assign seriousness;07.06.2011-07:34:53
69;Take in charge ticket;07.06.2011-07:35:14
69;Wait;08.07.2011-08:44:58
69;Resolve ticket;12.07.2011-07:00:36
69;Closed;27.07.2011-07:01:03
70;Assign seriousness;02.11.2011-08:20:14
70;Take in charge ticket;02.11.2011-08:20:41
70;Resolve ticket;02.11.2011-09:49:41
70;Closed;07.12.2011-08:30:27
71;Assign seriousness;25.01.2011-13:15:31
71;Take in charge ticket;25.01.2011-13:15:58
71;Resolve ticket;14.02.2011-11:48:42
71;Closed;01.03.2011-11:48:59
72;Assign seriousness;31.07.2012-11:01:15
72;Resolve ticket;31.07.2012-11:02:02
72;Closed;07.09.2012-11:00:40
73;Resolve ticket;10.02.2012-11:42:26
73;Closed;10.04.2012-09:32:49
74;Assign seriousness;11.03.2010-15:15:54
74;Assign seriousness;23.04.2010-07:44:51
74;Take in charge ticket;23.04.2010-07:44:59
74;Resolve ticket;23.04.2010-07:45:04
74;Closed;08.05.2010-07:45:21
75;Assign seriousness;10.01.2012-15:01:36
75;Resolve ticket;10.01.2012-15:58:08
75;Closed;25.02.2012-15:10:39
76;Assign seriousness;25.09.2013-13:32:38
76;Take in charge ticket;25.09.2013-13:33:02
76;Wait;25.09.2013-14:29:45
76;Resolve ticket;21.10.2013-15:09:58
76;Closed;05.11.2013-16:10:14
77;Assign seriousness;08.11.2011-09:18:10
77;Take in charge ticket;08.11.2011-09:22:35
77;Resolve ticket;05.12.2011-16:33:12
77;Closed;20.12.2011-16:33:29
78;Assign seriousness;03.10.2013-07:22:55
78;Take in charge ticket;04.10.2013-09:08:21
78;Wait;07.10.2013-13:20:44
78;Wait;09.10.2013-07:36:41
78;Resolve ticket;08.11.2013-09:26:35
78;Closed;23.11.2013-09:26:49
79;Assign seriousness;02.08.2012-09:22:58
79;Take in charge ticket;03.08.2012-12:12:15
79;Resolve ticket;10.08.2012-10:13:48
79;Closed;09.09.2012-10:14:13
80;Assign seriousness;09.02.2010-08:31:47
80;Take in charge ticket;09.02.2010-08:35:12
80;Wait;09.02.2010-08:35:26
80;Wait;09.02.2010-08:36:27
80;Take in charge ticket;19.02.2010-08:31:40
80;Resolve ticket;19.02.2010-08:32:00
80;Closed;09.04.2010-07:40:43
81;Assign seriousness;31.10.2013-14:55:24
81;Take in charge ticket;31.10.2013-15:04:25
81;Wait;05.11.2013-14:35:43
81;Resolve ticket;19.11.2013-16:09:52
81;Closed;04.12.2013-16:10:09
82;Assign seriousness;16.07.2013-14:19:52
82;Take in charge ticket;23.07.2013-08:59:56
82;Wait;24.07.2013-08:11:00
82;Resolve ticket;19.08.2013-15:22:57
82;Closed;03.09.2013-15:23:13
83;Assign seriousness;10.12.2010-09:15:54
83;Take in charge ticket;10.12.2010-09:16:17
83;Resolve ticket;10.12.2010-09:16:34
83;Closed;12.01.2011-09:20:47
84;Assign seriousness;24.02.2011-17:01:50
84;Take in charge ticket;24.02.2011-17:03:45
84;Resolve ticket;04.03.2011-10:02:13
84;Closed;09.04.2011-16:00:27
85;Assign seriousness;12.06.2012-16:12:48
85;Take in charge ticket;15.06.2012-07:27:33
85;Wait;15.06.2012-10:00:52
85;Resolve ticket;18.06.2012-09:42:02
85;Closed;14.07.2012-15:40:24
86;Assign seriousness;14.11.2011-14:35:55
86;Take in charge ticket;17.11.2011-16:58:30
86;Wait;17.11.2011-16:59:03
86;Resolve ticket;25.11.2011-09:30:07
86;Take in charge ticket;28.11.2011-13:50:35
86;Wait;28.11.2011-13:59:00
86;Resolve ticket;07.12.2011-13:41:18
86;Closed;06.01.2012-16:20:25
87;Assign seriousness;24.09.2010-07:57:49
87;Assign seriousness;24.09.2010-13:43:51
87;Wait;24.09.2010-13:44:52
87;Take in charge ticket;04.10.2010-10:48:54
87;Resolve ticket;04.10.2010-10:49:08
87;Closed;03.11.2010-11:49:30
88;Assign seriousness;26.02.2013-16:56:03
88;Take in charge ticket;13.03.2013-16:41:09
88;Resolve ticket;14.03.2013-15:26:52
88;Closed;29.03.2013-15:27:15
89;Assign seriousness;16.03.2010-07:59:03
89;Take in charge ticket;17.03.2010-09:02:03
89;Resolve ticket;17.03.2010-09:49:51
89;Closed;21.04.2010-16:00:28
90;Assign seriousness;24.05.2011-12:51:35
90;Take in charge ticket;24.05.2011-12:52:07
90;Resolve ticket;24.05.2011-13:36:11
90;Closed;09.07.2011-13:00:36
91;Assign seriousness;09.03.2010-10:09:33
91;Take in charge ticket;09.03.2010-10:09:44
91;Resolve ticket;18.03.2010-09:27:56
91;Closed;02.05.2010-08:28:46
92;Assign seriousness;25.07.2012-07:02:54
92;Take in charge ticket;30.07.2012-09:39:04
92;Resolve ticket;02.08.2012-15:14:07
92;Closed;09.09.2012-07:10:33
93;Assign seriousness;08.02.2012-08:33:56
93;Take in charge ticket;08.02.2012-08:34:08
93;Resolve ticket;08.02.2012-08:34:34
93;Closed;07.04.2012-07:42:34
94;Assign seriousness;26.09.2011-10:27:14
94;Take in charge ticket;29.09.2011-13:54:32
94;Resolve ticket;30.09.2011-09:09:23
94;Closed;27.10.2011-10:30:27
95;Assign seriousness;27.02.2012-16:31:32
95;Take in charge ticket;28.02.2012-08:52:59
95;Resolve ticket;29.02.2012-08:25:13
95;Resolve ticket;29.02.2012-08:25:14
95;Closed;11.04.2012-15:40:27
96;Assign seriousness;02.04.2013-12:26:52
96;Take in charge ticket;05.04.2013-16:14:03
96;Resolve ticket;10.05.2013-09:30:24
96;Closed;25.05.2013-09:30:42
97;Assign seriousness;05.07.2012-12:16:51
97;Take in charge ticket;05.07.2012-12:20:39
97;Resolve ticket;09.07.2012-13:21:24
97;Closed;07.08.2012-12:20:18
98;Assign seriousness;11.05.2011-10:16:32
98;Take in charge ticket;11.05.2011-10:17:55
98;Resolve ticket;16.05.2011-08:33:29
98;Closed;11.06.2011-10:20:27
99;Assign seriousness;12.04.2013-10:25:17
99;Take in charge ticket;24.04.2013-10:24:01
99;Require upgrade;24.04.2013-15:51:11
99;Resolve ticket;15.05.2013-13:21:00
99;Closed;30.05.2013-13:21:20
100;Insert ticket;18.06.2010-13:47:15
100;Assign seriousness;18.06.2010-14:18:15
100;Take in charge ticket;29.06.2010-07:35:47
100;Resolve ticket;29.06.2010-08:33:07
100;Closed;05.08.2010-13:50:24
101;Assign seriousness;30.01.2012-09:09:29
101;Take in charge ticket;30.01.2012-09:09:57
101;Resolve ticket;31.01.2012-08:12:06
101;Closed;16.03.2012-09:12:11
102;Assign seriousness;07.06.2010-07:30:54
102;Assign seriousness;07.06.2010-07:49:10
102;Take in charge ticket;07.06.2010-15:16:44
102;Wait;08.06.2010-10:37:29
102;Take in charge ticket;09.06.2010-07:18:05
102;Create SW anomaly;09.06.2010-07:18:28
102;Resolve ticket;16.06.2010-09:23:07
102;Closed;16.07.2010-09:23:33
103;Assign seriousness;27.01.2011-08:34:59
103;Take in charge ticket;27.01.2011-09:32:40
103;Resolve ticket;27.01.2011-09:34:24
103;Closed;05.03.2011-08:42:36
104;Assign seriousness;20.11.2012-09:00:13
104;Take in charge ticket;26.11.2012-16:42:13
104;Wait;30.11.2012-09:01:21
104;Resolve ticket;07.12.2012-16:04:16
104;Closed;22.12.2012-16:04:35
105;Assign seriousness;15.02.2013-13:12:20
105;Resolve ticket;05.03.2013-08:06:13
105;Closed;20.03.2013-08:06:31
106;Assign seriousness;30.10.2013-13:25:20
106;Take in charge ticket;31.10.2013-14:48:10
106;Wait;15.11.2013-08:31:41
106;Resolve ticket;18.11.2013-08:20:45
106;Closed;03.12.2013-08:20:56
107;Assign seriousness;12.01.2011-11:28:16
107;Take in charge ticket;24.01.2011-09:21:26
107;Resolve ticket;26.01.2011-08:12:39
107;Closed;25.02.2011-08:13:02
108;Assign seriousness;24.09.2010-15:35:31
108;Take in charge ticket;27.09.2010-09:11:48
108;Wait;28.09.2010-08:31:41
108;Take in charge ticket;08.11.2010-09:33:36
108;Resolve ticket;08.11.2010-09:33:57
108;Closed;23.11.2010-09:34:09
109;Assign seriousness;16.12.2010-09:33:24
109;Take in charge ticket;16.12.2010-09:40:25
109;Resolve ticket;16.12.2010-15:52:50
109;Closed;13.02.2011-09:40:36
110;Assign seriousness;29.06.2010-14:00:48
110;Take in charge ticket;29.06.2010-15:16:26
110;Resolve ticket;30.06.2010-08:05:04
110;Take in charge ticket;30.06.2010-14:19:00
110;Wait;01.07.2010-09:00:03
110;Take in charge ticket;02.07.2010-14:07:18
110;Resolve ticket;02.07.2010-14:08:52
110;Closed;05.08.2010-14:10:24
111;Assign seriousness;06.10.2011-07:50:55
111;Take in charge ticket;07.10.2011-14:03:47
111;Resolve ticket;14.10.2011-14:44:32
111;Closed;08.11.2011-09:00:20
112;Insert ticket;06.05.2010-15:51:48
112;Assign seriousness;24.05.2010-10:23:15
112;Take in charge ticket;25.05.2010-13:48:24
112;Resolve ticket;25.05.2010-14:11:28
112;Closed;09.06.2010-14:11:39
113;Assign seriousness;11.09.2013-12:51:59
113;Take in charge ticket;11.09.2013-12:52:24
113;Wait;25.09.2013-12:28:56
113;Take in charge ticket;01.10.2013-12:14:10
113;Wait;07.10.2013-07:20:45
113;Resolve ticket;07.10.2013-10:35:46
113;Closed;22.10.2013-10:36:06
114;Assign seriousness;14.02.2013-11:54:22
114;Take in charge ticket;04.03.2013-09:19:59
114;Wait;04.03.2013-09:20:40
114;Wait;04.03.2013-09:20:40
114;Resolve ticket;21.03.2013-13:52:57
114;Closed;05.04.2013-12:53:14
115;Assign seriousness;08.04.2011-13:02:03
115;Take in charge ticket;08.04.2011-13:02:38
115;Resolve ticket;08.04.2011-13:07:10
115;Closed;30.05.2011-13:11:18
116;Assign seriousness;19.07.2012-10:59:25
116;Take in charge ticket;20.07.2012-08:49:34
116;Resolve ticket;20.07.2012-14:44:15
116;Closed;06.09.2012-11:00:48
117;Assign seriousness;07.03.2011-11:02:24
117;Take in charge ticket;07.03.2011-11:02:41
117;Resolve ticket;07.03.2011-13:14:21
117;Closed;13.04.2011-10:10:26
118;Assign seriousness;05.12.2011-14:22:17
118;Take in charge ticket;05.12.2011-14:58:56
118;Resolve ticket;13.12.2011-09:22:04
118;Closed;02.02.2012-14:30:45
119;Assign seriousness;24.04.2012-14:07:03
119;Take in charge ticket;08.05.2012-10:53:06
119;Wait;08.05.2012-12:31:30
119;Resolve ticket;08.05.2012-14:04:27
119;Closed;25.05.2012-15:41:47
120;Assign seriousness;09.02.2011-13:28:58
120;Take in charge ticket;09.02.2011-14:21:02
120;Resolve ticket;09.02.2011-14:21:46
120;Closed;02.04.2011-14:15:17
121;Assign seriousness;14.02.2011-15:23:08
121;Take in charge ticket;15.02.2011-11:17:46
121;Resolve ticket;15.02.2011-11:52:47
121;Closed;30.03.2011-14:30:33
